PC1 PC2
0.6253394 -1.321359
0.846862 2.562969
2.549046 -0.6820329
-1.081465 0.6817507
1.24668 1.034205
0.5350222 1.771196
-0.514812 0.9976376
0.5602445 1.476307
1.01683 1.585847
0.5165127 -0.7652355
0.7311668 0.782146
1.223919 2.856117
0.556841 1.29473
0.5546619 0.7798255
1.474912 -0.5304575
-0.2545121 2.071229
0.8683239 0.6426269
0.6309034 2.266703
0.07478995 4.08225
-0.2111617 2.805674
0.3466099 0.5352158
-0.4862694 2.788772
-0.2573974 3.318903
-2.304237 1.951247
3.21118 1.556414
3.482791 0.7056687
1.992649 3.507277
-1.165554 4.290578
0.8278007 4.024264
1.095007 -0.07199715
-1.384204 0.3539349
-0.03407173 0.720375
1.424845 3.919025
-0.26185 1.877807
-0.6451746 2.421878
-0.1500495 3.925588
0.3845916 3.365231
0.5784306 2.997008
-0.7715218 1.656644
2.13859 1.737923
0.5058023 3.616003
1.51969 -0.0506983
1.831283 1.044934
1.809842 -0.05080438
3.044115 0.3879573
-1.207474 1.397525
-1.389332 -1.750633
1.162028 0.1342948
-0.3253335 0.2541843
-0.3232716 1.795483
0.06076974 1.551716
1.155555 2.750823
0.4128422 -1.081171
1.320489 0.3791988
0.6920755 2.842282
-0.3084623 0.5409685
0.3409013 1.560797
2.172248 2.533768
0.7034255 1.138846
0.5564032 0.4022863
0.2273768 1.421862
-1.199158 1.345223
-1.716232 -1.03811
1.11149 1.820008
-0.07116831 2.26632
-1.951387 0.7119777
-1.280037 0.5150544
-1.812327 -0.2292122
-0.01341194 1.751025
1.299266 0.9439688
-0.5946873 1.304174
1.776399 -0.3664354
-0.3861013 1.549992
0.1263614 -1.031552
0.1097444 1.767545
-1.274129 1.035203
1.107349 1.200715
2.800479 0.7179908
1.258371 -0.2329905
0.6194135 1.813683
2.147111 3.052542
0.1250241 1.471373
1.427544 2.112894
-1.477741 1.42527
0.4024077 2.124266
2.250734 1.793212
0.6484253 -0.02849275
0.8793315 1.244322
1.11867 3.230842
0.6325131 0.1854288
-1.552789 1.255817
-0.5431526 1.909097
0.1674378 2.415035
0.3675401 2.810801
1.036249 0.5131407
0.2942828 -0.0203577
-0.3989794 2.445969
0.2049832 3.738291
-0.1328701 0.9312266
-0.3609519 1.83388
0.5897012 1.518545
1.212573 -0.07504271
0.9724352 1.039502
-0.6709308 0.6264335
-0.2068316 1.907982
-0.1998922 0.2241214
-1.365135 0.9170958
1.678678 2.091049
0.2024436 1.965912
-1.929022 0.8554104
-0.04567875 2.100792
-1.215348 2.905336
1.348837 -0.4035457
2.164132 0.8163741
1.570684 1.00642
2.299519 0.5821652
1.298012 -0.4543914
0.416799 1.881242
0.5508399 1.709562
1.475336 -1.48609
-1.098244 -0.3960485
-0.8326651 2.163717
1.654596 1.654232
0.5762405 0.5290006
3.285065 2.047074
0.7412858 1.129206
0.5555984 1.649459
0.2348652 -0.4520537
2.993641 1.804125
3.725436 0.7094445
1.486168 2.468513
0.106942 0.1785178
0.5834718 0.4964005
-0.4964012 0.4383987
-1.033617 1.5669
0.4477937 1.895308
-1.978125 3.840571
1.062203 2.621684
-1.024638 -1.129324
-0.4032785 0.7200384
-1.11885 -1.791967
-2.497847 -0.1553955
-1.143151 0.3675036
1.63027 1.996012
0.8197641 -1.602234
0.7264885 0.8221694
-0.3896866 0.7742868
-2.576087 2.185085
-0.02343531 2.874277
1.777779 0.6188141
0.5515274 2.950164
1.582309 2.23306
-0.08484445 1.493472
-0.02925416 1.475473
0.05033411 2.173567
0.481592 0.343818
0.03507513 -0.2315844
-0.149093 1.256081
-0.1934383 1.221098
0.7559633 0.8116181
-0.1378274 1.149727
-0.01086115 1.38399
-0.06309107 2.558481
2.83499 0.04386881
2.938749 -2.057596
0.5225745 0.7634471
-0.1562416 0.08427013
0.7793604 2.958835
-1.202719 2.246357
-1.481952 1.666018
0.1226416 3.180828
0.6534561 0.2005815
-1.253198 1.959257
-0.08570353 1.732748
-0.8164975 -0.9612747
-0.1839379 1.54219
-0.3428548 -0.1158485
0.5921975 1.77098
-0.08865134 2.247518
0.4158009 1.758418
1.851374 2.321177
1.054609 2.396203
-0.4925115 4.452703
-0.2297497 -0.7214067
1.842369 0.03228932
-0.5223498 1.407008
-1.160696 1.598257
0.0672597 1.3591
0.564386 0.1460576
1.380168 2.370709
1.521155 3.52759
-0.02879333 1.036513
0.8742064 0.5290262
-0.4927349 1.428635
-0.5103114 1.568905
1.237732 -0.01066802
1.547626 0.6463145
0.726006 0.4914958
-0.5238769 -0.1407779
0.8341977 3.014669
0.2836332 1.78683
2.104028 1.031939
2.36617 0.7192073
1.608987 1.864495
-0.3489212 1.079558
0.3359101 0.5155591
2.714125 0.1213485
2.356529 -0.06887932
1.538108 -1.498255
0.1943467 1.169905
1.1342 -0.3451759
0.2669035 -0.9205212
0.26326 2.549417
-3.25188 2.682585
-0.8131334 3.267197
0.7690919 0.940226
0.8072646 0.07843673
-0.3501387 1.727532
0.1486013 0.0990099
-0.4277233 3.455096
-0.6118578 0.3108763
0.2316446 1.842948
-0.6919294 0.5493114
0.7613589 2.564625
1.492004 -0.188673
3.002118 -0.4007466
1.115218 1.060858
0.7696191 0.709653
2.249947 0.5892975
2.247472 0.0208058
1.303479 1.662515
-0.2266548 0.5283534
0.03270686 -0.3762841
-0.5960225 0.4209941
3.244529 2.54166
1.384547 1.838987
0.01970113 1.763416
0.2977967 0.8317394
0.04936105 -0.3345333
-0.2709495 0.06922106
-1.702238 0.7879564
-0.4116402 2.256979
-0.8338353 2.182078
-1.688771 1.072307
-1.552069 2.052535
-0.854298 0.4879083
-1.421628 1.2049
0.8658955 1.255194
0.48803 2.509711
-0.392852 2.898328
-1.736446 1.866785
-2.514395 3.240806
-0.6316806 0.8311553
-0.751548 -0.2264471
0.05312117 1.722245
-0.2216857 1.263595
0.6366029 1.731644
3.443748 1.01901
3.530722 -0.9130238
2.702419 -0.9035602
1.122019 -1.310814
1.132124 3.141989
-0.1052679 2.056929
-0.1398186 2.235749
0.7298856 6.191242
0.4336015 2.270232
0.5426732 1.955692
0.4095503 3.026339
0.397484 1.812924
0.6209282 1.113252
-0.7226404 -0.09658909
1.151516 1.321523
-1.161612 2.26409
-1.952711 0.4622869
0.06145276 -1.177963
-0.611057 2.463241
1.176471 3.868009
2.805871 2.179824
1.770386 0.1299636
1.181121 1.164939
-0.7524856 2.214832
-1.227027 2.752826
-1.205441 1.698092
0.1678551 1.658565
0.2943589 0.3983959
-1.03811 0.05400649
-0.3005311 0.6821584
1.359422 0.7224074
1.053037 2.695383
1.089206 0.5941284
-0.2390927 3.086235
2.280486 1.700776
-1.945156 0.2727445
2.483576 3.416859
1.545677 1.005011
-0.3786793 1.067252
-1.087421 0.2958478
-0.2307825 0.2987913
1.888299 0.3970404
1.234548 0.1354831
0.3272108 -0.0631289
-3.145939 2.894349
-0.8463388 1.698016
2.481499 2.447791
0.8150725 0.4208221
1.182903 0.8365127
1.134727 3.453205
1.044719 -2.498104
1.970472 -1.524756
0.8610528 1.393131
-0.6181399 1.448994
0.003219787 1.500418
1.322746 1.707826
-0.8142927 1.522523
1.836146 1.088769
-1.333436 2.998765
-0.6320148 0.9936128
1.300655 0.2497461
-0.2856387 1.099991
0.9839671 2.479151
1.281138 2.756006
0.4204416 1.981205
